,paul15_clusters,n_counts_all,louvain,louvain_anno,cell_type,dpt_pseudotime
68,12Baso,1252.0,16,16/Stem,Early Progenitor,0.019175082
69,6Ery,1245.0,7,7,Ery4,0.34773088
70,5Ery,1796.0,7,7,Ery4,0.5071897
71,5Ery,1577.0,7,7,Ery4,0.6011814
72,14Mo,2019.0,2,2,Neutrophils,0.17252591
73,4Ery,3488.0,6,6,Ery1,0.70776
74,16Neu,1992.0,14,14,Neutrophils,0.3398837
75,16Neu,2810.0,14,14,Neutrophils,0.3244063
76,3Ery,4328.0,15,15,Ery1,0.7533454
77,2Ery,2454.0,5,5,Ery0,0.7187732
78,6Ery,2063.0,6,6,Ery1,0.6937718
79,13Baso,1739.0,9,9,Monocyte Progenitor,0.3160255
80,13Baso,1445.0,0,0,HPC,0.12346276
81,10GMP,1174.0,0,0,HPC,0.07078283
82,14Mo,1799.0,2,2,Neutrophils,0.20134383
83,5Ery,2986.0,6,6,Ery1,0.6265286
84,7MEP,379.0,8,8,Ery4,0.2439524
85,7MEP,570.0,8,8,Ery4,0.21419436
86,5Ery,3427.0,15,15,Ery1,0.63817936
87,6Ery,1780.0,7,7,Ery4,0.50089365
88,2Ery,2783.0,10,10/Ery,Ery0,0.769479
89,10GMP,1260.0,7,7,Ery4,0.2281103
90,10GMP,1529.0,0,0,HPC,0.09621014
91,2Ery,4160.0,5,5,Ery0,0.7750807
92,7MEP,346.0,8,8,Ery4,0.15713441
93,6Ery,1422.0,7,7,Ery4,0.34325036
94,7MEP,563.0,12,12,Ery4,0.32584468
95,14Mo,1959.0,4,4,HPC,0.1854085
96,16Neu,1454.0,1,1,Monocyte Progenitor,0.3025782
97,10GMP,831.0,0,0,HPC,0.1261344
98,3Ery,2334.0,6,6,Ery1,0.5977292
99,3Ery,6186.0,17,17,Ery0,0.8108974
100,13Baso,2463.0,9,9,Monocyte Progenitor,0.3072899
101,1Ery,3233.0,10,10/Ery,Ery0,0.95176905
102,14Mo,1653.0,9,9,Monocyte Progenitor,0.31961158
103,15Mo,2006.0,1,1,Monocyte Progenitor,0.31541362
104,2Ery,3248.0,5,5,Ery0,0.77208227
105,5Ery,897.0,13,13,Ery3,0.49994466
106,2Ery,2294.0,5,5,Ery0,0.76394755
107,5Ery,1339.0,13,13,Ery3,0.48860565
108,3Ery,4452.0,3,3,Ery0,0.77107745
109,14Mo,1505.0,1,1,Monocyte Progenitor,0.23558265
110,10GMP,1103.0,0,0,HPC,0.0966173
111,2Ery,2798.0,10,10/Ery,Ery0,0.86394197
112,7MEP,327.0,12,12,Ery4,0.29583144
113,4Ery,3026.0,3,3,Ery0,0.7833374
114,9GMP,1908.0,16,16/Stem,Early Progenitor,0.06290256
115,7MEP,666.0,8,8,Ery4,0.2154959
116,3Ery,1823.0,5,5,Ery0,0.6153502
117,16Neu,1415.0,14,14,Neutrophils,0.3626007
118,11DC,433.0,23,23,Lymph,inf
119,10GMP,638.0,0,0,HPC,0.05599353
120,6Ery,2211.0,15,15,Ery1,0.6186493
121,3Ery,1419.0,7,7,Ery4,0.4625941
122,2Ery,1473.0,5,5,Ery0,0.7888689
123,5Ery,3856.0,6,6,Ery1,0.68219465
124,2Ery,1207.0,5,5,Ery0,0.65925044
125,2Ery,2336.0,5,5,Ery0,0.7308076
126,5Ery,1943.0,13,13,Ery3,0.6217852
127,14Mo,1557.0,9,9,Monocyte Progenitor,0.28105184
128,5Ery,2464.0,18,18,Ery2,0.6318587
129,14Mo,2361.0,1,1,Monocyte Progenitor,0.27046338
130,3Ery,2864.0,18,18,Ery2,0.5759304
131,2Ery,2370.0,5,5,Ery0,0.7914784
132,16Neu,1112.0,2,2,Neutrophils,0.37066835
133,2Ery,2484.0,10,10/Ery,Ery0,0.8880839
134,13Baso,500.0,4,4,HPC,0.19647363
135,16Neu,1250.0,2,2,Neutrophils,0.25792718
136,2Ery,2004.0,5,5,Ery0,0.8590478
137,3Ery,3591.0,17,17,Ery0,0.8146374
138,3Ery,3369.0,15,15,Ery1,0.71787316
139,14Mo,1638.0,1,1,Monocyte Progenitor,0.2573975
140,5Ery,1651.0,5,5,Ery0,0.6370152
141,16Neu,1814.0,19,19/Neu,Neutrophils,0.3917783
142,14Mo,1654.0,11,11,Monocyte Progenitor,0.2651573
143,14Mo,861.0,4,4,HPC,0.22116794
144,13Baso,3208.0,9,9,Monocyte Progenitor,0.26565483
145,3Ery,2761.0,3,3,Ery0,0.7705083
146,14Mo,1150.0,4,4,HPC,0.3161017
147,7MEP,436.0,12,12,Ery4,0.2489228
148,14Mo,1533.0,0,0,HPC,0.1665371
149,10GMP,518.0,4,4,HPC,0.18968447
150,2Ery,1048.0,13,13,Ery3,0.49729252
151,14Mo,1118.0,0,0,HPC,0.14573796
152,15Mo,1059.0,2,2,Neutrophils,0.3429527
153,14Mo,1702.0,1,1,Monocyte Progenitor,0.21533325
154,16Neu,1791.0,14,14,Neutrophils,0.3658964
155,10GMP,534.0,16,16/Stem,Early Progenitor,0.05509923
156,7MEP,371.0,8,8,Ery4,0.19300541
157,5Ery,1165.0,13,13,Ery3,0.5262047
158,16Neu,1784.0,2,2,Neutrophils,0.27376488
159,2Ery,1433.0,6,6,Ery1,0.69075525
160,16Neu,1220.0,2,2,Neutrophils,0.34546557
161,14Mo,1111.0,4,4,HPC,0.303764
162,10GMP,1232.0,0,0,HPC,0.08629672
163,16Neu,1059.0,14,14,Neutrophils,0.32908097
164,8Mk,416.0,20,20/Mk,Mep,0.2079949
165,7MEP,492.0,7,7,Ery4,0.26178288
166,14Mo,2314.0,11,11,Monocyte Progenitor,0.2813023
167,7MEP,711.0,8,8,Ery4,0.2409405
168,2Ery,1992.0,5,5,Ery0,0.7100035
169,14Mo,1587.0,11,11,Monocyte Progenitor,0.21659103
170,14Mo,523.0,9,9,Monocyte Progenitor,0.31763378
171,4Ery,1797.0,6,6,Ery1,0.6530278
172,5Ery,1615.0,13,13,Ery3,0.57094115
173,14Mo,1105.0,4,4,HPC,0.22019593
174,14Mo,921.0,2,2,Neutrophils,0.3065089
175,10GMP,522.0,20,20/Mk,Mep,0.21827699
176,6Ery,585.0,12,12,Ery4,0.25524193
177,5Ery,1631.0,13,13,Ery3,0.5743264
178,14Mo,1245.0,11,11,Monocyte Progenitor,0.30430862
179,3Ery,3532.0,17,17,Ery0,0.7599646
180,5Ery,1985.0,7,7,Ery4,0.5826295
181,15Mo,1894.0,4,4,HPC,0.2896227
182,5Ery,2346.0,6,6,Ery1,0.6881838
183,14Mo,1474.0,1,1,Monocyte Progenitor,0.2123995
184,16Neu,1882.0,2,2,Neutrophils,0.32726792
185,8Mk,320.0,8,8,Ery4,0.19370565
186,3Ery,4721.0,17,17,Ery0,0.68298966
187,14Mo,2536.0,2,2,Neutrophils,0.3245647
188,12Baso,478.0,8,8,Ery4,0.16920531
189,14Mo,2649.0,0,0,HPC,0.237361
190,3Ery,4533.0,17,17,Ery0,0.7300015
191,5Ery,1539.0,7,7,Ery4,0.44112474
192,16Neu,552.0,2,2,Neutrophils,0.31661987
193,15Mo,2113.0,2,2,Neutrophils,0.33331314
194,13Baso,2339.0,9,9,Monocyte Progenitor,0.2905785
195,5Ery,3113.0,6,6,Ery1,0.57397074
196,3Ery,5510.0,15,15,Ery1,0.746408
197,13Baso,1095.0,0,0,HPC,0.13693403
198,12Baso,1244.0,16,16/Stem,Early Progenitor,0.09205273
199,8Mk,350.0,8,8,Ery4,0.17473581
200,7MEP,907.0,8,8,Ery4,0.15444008
201,6Ery,1578.0,18,18,Ery2,0.4946773
202,2Ery,2544.0,10,10/Ery,Ery0,0.77972674
203,3Ery,4687.0,17,17,Ery0,0.85235465
204,3Ery,3100.0,17,17,Ery0,0.69752276
205,15Mo,1888.0,1,1,Monocyte Progenitor,0.25147733
206,3Ery,1250.0,18,18,Ery2,0.48623478
207,3Ery,3026.0,3,3,Ery0,0.6554374
208,3Ery,4102.0,15,15,Ery1,0.6810042
209,8Mk,742.0,8,8,Ery4,0.2863003
210,2Ery,2766.0,6,6,Ery1,0.66071427
211,2Ery,3141.0,5,5,Ery0,0.68056554
212,14Mo,2648.0,4,4,HPC,0.30276403
213,3Ery,3386.0,3,3,Ery0,0.649597
214,15Mo,3218.0,1,1,Monocyte Progenitor,0.264847
215,14Mo,2219.0,11,11,Monocyte Progenitor,0.24839172
216,7MEP,492.0,8,8,Ery4,0.3130713
217,15Mo,1258.0,2,2,Neutrophils,0.2580313
218,3Ery,2086.0,6,6,Ery1,0.6564458
219,3Ery,2560.0,3,3,Ery0,0.59622955
220,13Baso,854.0,0,0,HPC,0.14933713
221,15Mo,4075.0,1,1,Monocyte Progenitor,0.32656375
222,3Ery,2376.0,17,17,Ery0,0.7524408
223,15Mo,2524.0,4,4,HPC,0.28241143
224,13Baso,2283.0,9,9,Monocyte Progenitor,0.28709617
225,3Ery,1965.0,15,15,Ery1,0.59532505
226,15Mo,1417.0,2,2,Neutrophils,0.30981556
227,15Mo,2995.0,14,14,Neutrophils,0.34032258
228,13Baso,4438.0,9,9,Monocyte Progenitor,0.26563329
229,19Lymph,972.0,21,21,DC,inf
230,4Ery,2582.0,15,15,Ery1,0.5968547
231,3Ery,2703.0,18,18,Ery2,0.6517661
232,14Mo,1973.0,4,4,HPC,0.22398923
233,4Ery,4096.0,5,5,Ery0,0.63165957
234,6Ery,990.0,7,7,Ery4,0.382976
235,16Neu,2957.0,19,19/Neu,Neutrophils,0.37256652
236,14Mo,2413.0,1,1,Monocyte Progenitor,0.21510643
237,3Ery,2583.0,10,10/Ery,Ery0,0.82144535
238,17Neu,479.0,22,22/Baso,Basophil,0.3504835
239,15Mo,1756.0,4,4,HPC,0.22478212
240,4Ery,2083.0,6,6,Ery1,0.60037327
241,3Ery,5053.0,3,3,Ery0,0.6960505
242,6Ery,873.0,7,7,Ery4,0.43130746
243,14Mo,2189.0,11,11,Monocyte Progenitor,0.29485154
244,3Ery,4406.0,15,15,Ery1,0.69963866
245,16Neu,1155.0,2,2,Neutrophils,0.29946935
246,14Mo,2338.0,24,24/Mo,Monocyte Progenitor,0.31658024
247,15Mo,2222.0,4,4,HPC,0.2085718
248,7MEP,917.0,8,8,Ery4,0.2551979
249,13Baso,1818.0,0,0,HPC,0.15331207
250,15Mo,1252.0,2,2,Neutrophils,0.21838947
251,14Mo,3195.0,24,24/Mo,Monocyte Progenitor,0.33500975
252,3Ery,3347.0,3,3,Ery0,0.7269856
253,2Ery,1921.0,5,5,Ery0,0.7132712
254,2Ery,2914.0,3,3,Ery0,0.7995129
255,14Mo,2114.0,0,0,HPC,0.19608486
256,2Ery,4026.0,10,10/Ery,Ery0,0.8359429
257,13Baso,2925.0,16,16/Stem,Early Progenitor,0.024133924
258,2Ery,3774.0,3,3,Ery0,0.7591515
259,3Ery,4022.0,15,15,Ery1,0.5944724
260,13Baso,1196.0,0,0,HPC,0.089494444
261,12Baso,482.0,8,8,Ery4,0.20967956
262,2Ery,2595.0,5,5,Ery0,0.73522866
263,10GMP,876.0,16,16/Stem,Early Progenitor,0.035695974
264,5Ery,2014.0,13,13,Ery3,0.55500984
265,13Baso,1453.0,9,9,Monocyte Progenitor,0.25731778
266,3Ery,3518.0,15,15,Ery1,0.74797803
267,9GMP,810.0,0,0,HPC,0.06653753
268,15Mo,2167.0,2,2,Neutrophils,0.3072808
269,2Ery,3264.0,10,10/Ery,Ery0,0.80574715
270,10GMP,535.0,16,16/Stem,Early Progenitor,0.037722506
271,5Ery,2369.0,6,6,Ery1,0.55425555
272,5Ery,2667.0,13,13,Ery3,0.60223365
273,2Ery,3348.0,10,10/Ery,Ery0,0.9354629
274,14Mo,1056.0,0,0,HPC,0.15301943
275,13Baso,1085.0,0,0,HPC,0.18515341
276,2Ery,2232.0,5,5,Ery0,0.7171115
277,14Mo,3010.0,11,11,Monocyte Progenitor,0.24101067
278,16Neu,1534.0,14,14,Neutrophils,0.38561612
279,12Baso,337.0,16,16/Stem,Early Progenitor,0.036656447
280,14Mo,2136.0,11,11,Monocyte Progenitor,0.25798243
281,14Mo,1003.0,11,11,Monocyte Progenitor,0.21629332
282,3Ery,2428.0,3,3,Ery0,0.8117868
283,14Mo,1282.0,11,11,Monocyte Progenitor,0.23139368
284,13Baso,1954.0,0,0,HPC,0.14601971
285,12Baso,835.0,0,0,HPC,0.06808027
286,5Ery,1692.0,13,13,Ery3,0.55217135
287,10GMP,431.0,16,16/Stem,Early Progenitor,0.038282398
288,14Mo,1276.0,1,1,Monocyte Progenitor,0.2543435
289,4Ery,1828.0,6,6,Ery1,0.63445115
290,15Mo,1422.0,1,1,Monocyte Progenitor,0.2784951
291,11DC,1130.0,23,23,Lymph,inf
292,3Ery,4809.0,15,15,Ery1,0.562036
293,4Ery,2834.0,3,3,Ery0,0.6500155
294,4Ery,1778.0,13,13,Ery3,0.56107056
295,4Ery,2970.0,6,6,Ery1,0.65905607
296,4Ery,3510.0,3,3,Ery0,0.80108654
297,5Ery,1300.0,13,13,Ery3,0.53888553
298,1Ery,2416.0,10,10/Ery,Ery0,0.8778673
299,16Neu,2666.0,14,14,Neutrophils,0.39914137
300,14Mo,2070.0,1,1,Monocyte Progenitor,0.26759708
301,2Ery,3314.0,5,5,Ery0,0.8357594
302,5Ery,2486.0,18,18,Ery2,0.5389614
303,15Mo,1456.0,2,2,Neutrophils,0.32383853
304,5Ery,3393.0,18,18,Ery2,0.5648065
305,2Ery,2585.0,6,6,Ery1,0.7272859
306,5Ery,1789.0,6,6,Ery1,0.54227626
307,1Ery,2089.0,10,10/Ery,Ery0,0.86596113
308,7MEP,313.0,8,8,Ery4,0.24537003
309,2Ery,1579.0,5,5,Ery0,0.7410236
310,14Mo,1371.0,4,4,HPC,0.27198407
311,10GMP,654.0,20,20/Mk,Mep,0.18477423
312,2Ery,1997.0,6,6,Ery1,0.7052366
313,14Mo,1624.0,1,1,Monocyte Progenitor,0.21041663
314,6Ery,565.0,7,7,Ery4,0.32349363
315,9GMP,1364.0,16,16/Stem,Early Progenitor,0.14412497
316,3Ery,6101.0,17,17,Ery0,0.6329349
317,2Ery,1938.0,6,6,Ery1,0.63069147
318,3Ery,2042.0,6,6,Ery1,0.69080937
319,12Baso,347.0,8,8,Ery4,0.16768046
320,2Ery,1522.0,6,6,Ery1,0.6314415
321,18Eos,410.0,4,4,HPC,0.6145238
322,5Ery,2544.0,6,6,Ery1,0.67865413
323,3Ery,1443.0,13,13,Ery3,0.65355986
324,15Mo,1732.0,1,1,Monocyte Progenitor,0.25370067
325,14Mo,850.0,4,4,HPC,0.12322528
326,2Ery,2598.0,10,10/Ery,Ery0,0.77521324
327,6Ery,855.0,7,7,Ery4,0.3520954
328,14Mo,1020.0,4,4,HPC,0.25599316
329,2Ery,2112.0,10,10/Ery,Ery0,0.8333927
330,5Ery,1896.0,13,13,Ery3,0.5530126
331,12Baso,458.0,16,16/Stem,Early Progenitor,0.0316454
332,7MEP,566.0,16,16/Stem,Early Progenitor,0.18078774
333,17Neu,387.0,22,22/Baso,Basophil,0.2922894
334,14Mo,1469.0,11,11,Monocyte Progenitor,0.25296822
335,2Ery,2098.0,5,5,Ery0,0.79788566
336,5Ery,1314.0,13,13,Ery3,0.62830573
337,2Ery,3739.0,5,5,Ery0,0.6942071
338,14Mo,1948.0,9,9,Monocyte Progenitor,0.34346476
339,13Baso,648.0,9,9,Monocyte Progenitor,0.2643461
340,15Mo,2702.0,1,1,Monocyte Progenitor,0.25545773
341,2Ery,2810.0,5,5,Ery0,0.8110172
342,13Baso,1466.0,0,0,HPC,0.14529347
343,16Neu,2349.0,14,14,Neutrophils,0.3621275
344,5Ery,2392.0,6,6,Ery1,0.6168184
345,14Mo,2764.0,24,24/Mo,Monocyte Progenitor,0.28167376
346,16Neu,972.0,2,2,Neutrophils,0.27619433
347,14Mo,1904.0,4,4,HPC,0.22024852
348,16Neu,1325.0,14,14,Neutrophils,0.26558492
349,14Mo,1795.0,9,9,Monocyte Progenitor,0.3259179
350,8Mk,1087.0,20,20/Mk,Mep,0.46675813
351,10GMP,1108.0,16,16/Stem,Early Progenitor,0.061528925
352,14Mo,994.0,4,4,HPC,0.13947895
353,5Ery,2526.0,13,13,Ery3,0.6105997
354,7MEP,296.0,12,12,Ery4,0.29236773
355,2Ery,2215.0,5,5,Ery0,0.6825927
356,14Mo,1239.0,4,4,HPC,0.3167371
357,13Baso,2044.0,9,9,Monocyte Progenitor,0.28523245
358,2Ery,2758.0,6,6,Ery1,0.7244656
359,5Ery,2437.0,6,6,Ery1,0.5907223
360,14Mo,1389.0,9,9,Monocyte Progenitor,0.30879018
361,14Mo,2964.0,1,1,Monocyte Progenitor,0.26142198
362,9GMP,1406.0,0,0,HPC,0.07411903
363,4Ery,3258.0,3,3,Ery0,0.69267917
364,10GMP,414.0,0,0,HPC,0.06131027
365,13Baso,1793.0,4,4,HPC,0.242583
366,10GMP,1371.0,16,16/Stem,Early Progenitor,0.03966479
367,7MEP,348.0,12,12,Ery4,0.24342577
368,10GMP,941.0,0,0,HPC,0.10718709
369,3Ery,2701.0,18,18,Ery2,0.49873397
370,2Ery,4878.0,3,3,Ery0,0.6980573
371,14Mo,3439.0,1,1,Monocyte Progenitor,0.29182485
372,10GMP,445.0,0,0,HPC,0.07083146
373,15Mo,1155.0,2,2,Neutrophils,0.23264498
374,13Baso,4739.0,2,2,Neutrophils,0.31132412
375,7MEP,429.0,12,12,Ery4,0.2329735
376,6Ery,710.0,12,12,Ery4,0.27125123
377,7MEP,934.0,12,12,Ery4,0.26158935
378,5Ery,2132.0,18,18,Ery2,0.5786904
379,14Mo,1695.0,1,1,Monocyte Progenitor,0.23557635
380,13Baso,2121.0,1,1,Monocyte Progenitor,0.23290354
381,10GMP,1060.0,0,0,HPC,0.076293
382,7MEP,1027.0,12,12,Ery4,0.19984983
383,3Ery,8003.0,3,3,Ery0,0.7182416
384,7MEP,396.0,8,8,Ery4,0.25443614
385,13Baso,1522.0,11,11,Monocyte Progenitor,0.20050341
386,1Ery,2477.0,10,10/Ery,Ery0,0.71692926
387,14Mo,1019.0,4,4,HPC,0.27398062
388,13Baso,1275.0,24,24/Mo,Monocyte Progenitor,0.30782646
389,10GMP,489.0,0,0,HPC,0.10739268
390,9GMP,1764.0,0,0,HPC,0.038034715
391,3Ery,4089.0,15,15,Ery1,0.60752136
392,13Baso,3139.0,0,0,HPC,0.17462443
393,2Ery,2896.0,10,10/Ery,Ery0,0.8388253
394,13Baso,884.0,4,4,HPC,0.18284711
395,2Ery,4022.0,5,5,Ery0,0.6624136
396,6Ery,383.0,12,12,Ery4,0.2414939
397,6Ery,765.0,7,7,Ery4,0.33953014
398,13Baso,1136.0,9,9,Monocyte Progenitor,0.25742036
399,3Ery,4298.0,18,18,Ery2,0.55446196
400,13Baso,1419.0,11,11,Monocyte Progenitor,0.25131583
401,11DC,438.0,23,23,Lymph,inf
402,14Mo,1563.0,2,2,Neutrophils,0.32829362
403,10GMP,491.0,16,16/Stem,Early Progenitor,0.04284384
404,8Mk,919.0,20,20/Mk,Mep,0.35297552
405,9GMP,704.0,0,0,HPC,0.042615917
406,2Ery,4419.0,5,5,Ery0,0.81512666
407,13Baso,659.0,4,4,HPC,0.2518992
408,14Mo,1956.0,9,9,Monocyte Progenitor,0.32033327
409,13Baso,818.0,0,0,HPC,0.17393216
410,14Mo,1121.0,1,1,Monocyte Progenitor,0.24093367
411,5Ery,3563.0,6,6,Ery1,0.67350304
412,14Mo,1396.0,11,11,Monocyte Progenitor,0.26625437
413,5Ery,1387.0,13,13,Ery3,0.5682907
414,13Baso,2494.0,4,4,HPC,0.18633613
415,12Baso,1199.0,22,22/Baso,Basophil,0.12212137
416,16Neu,1325.0,19,19/Neu,Neutrophils,0.36458245
417,11DC,347.0,23,23,Lymph,inf
418,13Baso,830.0,0,0,HPC,0.05788009
419,13Baso,1726.0,11,11,Monocyte Progenitor,0.20812814
420,2Ery,2597.0,10,10/Ery,Ery0,0.7445051
421,2Ery,2952.0,6,6,Ery1,0.6857255
422,14Mo,1443.0,4,4,HPC,0.20650035
423,7MEP,302.0,12,12,Ery4,0.26615068
424,4Ery,2387.0,13,13,Ery3,0.5481958
425,6Ery,1157.0,13,13,Ery3,0.49735564
426,13Baso,1098.0,4,4,HPC,0.1841368
427,14Mo,1038.0,4,4,HPC,0.27544293
428,14Mo,1937.0,1,1,Monocyte Progenitor,0.20856886
429,6Ery,383.0,12,12,Ery4,0.24498048
430,12Baso,622.0,22,22/Baso,Basophil,0.11332547
431,6Ery,2350.0,18,18,Ery2,0.5257659
432,14Mo,1171.0,4,4,HPC,0.21060975
433,2Ery,3206.0,6,6,Ery1,0.7157515
434,13Baso,1183.0,2,2,Neutrophils,0.32797453
435,13Baso,1538.0,9,9,Monocyte Progenitor,0.29383734
436,14Mo,1779.0,1,1,Monocyte Progenitor,0.23052186
437,7MEP,315.0,12,12,Ery4,0.25260922
438,7MEP,422.0,8,8,Ery4,0.19559525
439,15Mo,1337.0,2,2,Neutrophils,0.27926624
440,5Ery,1420.0,13,13,Ery3,0.5189622
441,5Ery,1264.0,13,13,Ery3,0.4694468
442,5Ery,909.0,7,7,Ery4,0.32671222
443,5Ery,2547.0,13,13,Ery3,0.6750891
444,15Mo,1753.0,14,14,Neutrophils,0.3141822
445,1Ery,3442.0,10,10/Ery,Ery0,0.8188337
446,13Baso,1828.0,0,0,HPC,0.15026791
447,10GMP,1885.0,0,0,HPC,0.18877804
448,12Baso,1089.0,12,12,Ery4,0.17997989
449,4Ery,4208.0,3,3,Ery0,0.7738982
450,7MEP,371.0,8,8,Ery4,0.17019759
451,15Mo,2112.0,19,19/Neu,Neutrophils,0.4202813
452,19Lymph,473.0,21,21,DC,inf
453,13Baso,3355.0,9,9,Monocyte Progenitor,0.25088203
454,13Baso,2398.0,11,11,Monocyte Progenitor,0.1735594
455,3Ery,6199.0,17,17,Ery0,0.76934713
456,3Ery,2635.0,6,6,Ery1,0.6691439
457,15Mo,1180.0,2,2,Neutrophils,0.26182804
458,16Neu,1407.0,14,14,Neutrophils,0.3301868
459,13Baso,1890.0,9,9,Monocyte Progenitor,0.2958766
460,2Ery,4190.0,3,3,Ery0,0.70281047
461,15Mo,1517.0,14,14,Neutrophils,0.3071681
462,17Neu,441.0,22,22/Baso,Basophil,0.094679825
463,15Mo,1458.0,2,2,Neutrophils,0.28388646
464,13Baso,1415.0,0,0,HPC,0.13738847
465,16Neu,1324.0,14,14,Neutrophils,0.4070721
466,6Ery,617.0,12,12,Ery4,0.2837954
467,5Ery,2655.0,18,18,Ery2,0.5844923
468,15Mo,2384.0,1,1,Monocyte Progenitor,0.23311871
469,9GMP,1175.0,16,16/Stem,Early Progenitor,0.06377438
470,13Baso,2379.0,11,11,Monocyte Progenitor,0.2527409
471,15Mo,3347.0,2,2,Neutrophils,0.28805876
472,13Baso,1205.0,9,9,Monocyte Progenitor,0.27543053
473,6Ery,841.0,7,7,Ery4,0.24476454
474,7MEP,290.0,8,8,Ery4,0.20322311
475,12Baso,678.0,0,0,HPC,0.041875754
476,15Mo,1643.0,14,14,Neutrophils,0.32248566
477,2Ery,2847.0,5,5,Ery0,0.72545415
478,13Baso,617.0,0,0,HPC,0.1502667
479,10GMP,765.0,12,12,Ery4,0.16846368
480,14Mo,1663.0,2,2,Neutrophils,0.19422752
481,14Mo,1392.0,1,1,Monocyte Progenitor,0.236804
482,14Mo,1132.0,2,2,Neutrophils,0.3451011
483,15Mo,2318.0,14,14,Neutrophils,0.38705122
484,5Ery,1277.0,13,13,Ery3,0.5043997
485,16Neu,2259.0,14,14,Neutrophils,0.30827868
486,5Ery,1943.0,13,13,Ery3,0.55195624
487,14Mo,2570.0,1,1,Monocyte Progenitor,0.23263426
488,13Baso,1413.0,9,9,Monocyte Progenitor,0.31747532
489,15Mo,3119.0,14,14,Neutrophils,0.31268856
490,2Ery,2904.0,5,5,Ery0,0.8329947
